# started 2026-09-01 00:19:58
# cached: b=0.50 N=10 (100 trials reused)
00:22:13 | b=0.05 | trial  64 | gates= 234 |   47.7s | overall 178/1000
00:22:13 | b=0.05 | trial  79 | gates= 242 |   44.3s | overall 179/1000
00:22:16 | b=0.05 | trial  74 | gates= 240 |   47.7s | overall 180/1000
00:22:16 | b=0.05 | trial  80 | gates= 246 |   46.6s | overall 181/1000
00:22:17 | b=0.05 | trial  82 | gates= 240 |   46.6s | overall 182/1000
00:22:19 | b=0.05 | trial  83 | gates= 222 |   47.0s | overall 183/1000
00:22:21 | b=0.05 | trial  84 | gates= 240 |   47.2s | overall 184/1000
00:22:47 | b=0.05 | trial  86 | gates= 244 |   43.5s | overall 185/1000
00:22:49 | b=0.05 | trial  87 | gates= 228 |   43.3s | overall 186/1000
00:22:50 | b=0.05 | trial  85 | gates= 232 |   46.3s | overall 187/1000
00:22:51 | b=0.05 | trial  90 | gates= 236 |   43.4s | overall 188/1000
00:22:51 | b=0.05 | trial  89 | gates= 228 |   44.3s | overall 189/1000
00:22:52 | b=0.05 | trial  91 | gates= 234 |   44.2s | overall 190/1000
00:22:52 | b=0.05 | trial  88 | gates= 222 |   45.5s | overall 191/1000
00:22:52 | b=0.05 | trial  95 | gates= 236 |   43.1s | overall 192/1000
00:22:52 | b=0.05 | trial  97 | gates= 242 |   42.3s | overall 193/1000
00:22:52 | b=0.05 | trial  96 | gates= 226 |   42.5s | overall 194/1000
00:22:53 | b=0.05 | trial  94 | gates= 248 |   43.9s | overall 195/1000
00:22:53 | b=0.05 | trial  92 | gates= 242 |   44.8s | overall 196/1000
00:22:53 | b=0.10 | trial   4 | gates= 226 |   41.4s | overall 197/1000
00:22:54 | b=0.10 | trial   3 | gates= 236 |   41.8s | overall 198/1000
00:22:54 | b=0.05 | trial  98 | gates= 242 |   44.1s | overall 199/1000
00:22:55 | b=0.10 | trial   2 | gates= 228 |   42.9s | overall 200/1000
00:22:56 | b=0.10 | trial   5 | gates= 228 |   43.5s | overall 201/1000
00:22:56 | b=0.05 | trial  93 | gates= 230 |   47.3s | overall 202/1000
00:22:56 | b=0.05 | trial 100 | gates= 248 |   44.8s | overall 203/1000
00:22:57 | b=0.10 | trial   7 | gates= 234 |   43.5s | overall 204/1000
00:22:57 | b=0.05 | trial  99 | gates= 242 |   46.3s | overall 205/1000
00:23:01 | b=0.10 | trial   1 | gates= 234 |   46.9s | overall 206/1000
00:23:01 | b=0.10 | trial   6 | gates= 230 |   47.2s | overall 207/1000
00:23:01 | b=0.10 | trial   8 | gates= 220 |   45.4s | overall 208/1000
00:23:02 | b=0.10 | trial   9 | gates= 230 |   45.9s | overall 209/1000
00:23:03 | b=0.10 | trial  11 | gates= 238 |   44.4s | overall 210/1000
00:23:03 | b=0.10 | trial  10 | gates= 228 |   45.9s | overall 211/1000
00:23:04 | b=0.10 | trial  12 | gates= 246 |   43.2s | overall 212/1000
00:23:34 | b=0.10 | trial  21 | gates= 224 |   42.0s | overall 213/1000
00:23:35 | b=0.10 | trial  14 | gates= 232 |   46.1s | overall 214/1000
00:23:35 | b=0.10 | trial  23 | gates= 234 |   42.7s | overall 215/1000
00:23:36 | b=0.10 | trial  16 | gates= 226 |   44.8s | overall 216/1000
00:23:36 | b=0.10 | trial  22 | gates= 240 |   43.4s | overall 217/1000
00:23:36 | b=0.10 | trial  19 | gates= 226 |   44.0s | overall 218/1000
00:23:36 | b=0.10 | trial  20 | gates= 232 |   44.0s | overall 219/1000
00:23:37 | b=0.10 | trial  13 | gates= 244 |   49.7s | overall 220/1000
00:23:38 | b=0.10 | trial  18 | gates= 234 |   46.1s | overall 221/1000
00:23:38 | b=0.10 | trial  24 | gates= 230 |   45.3s | overall 222/1000
00:23:38 | b=0.10 | trial  15 | gates= 228 |   48.6s | overall 223/1000
00:23:39 | b=0.10 | trial  27 | gates= 228 |   44.8s | overall 224/1000
00:23:40 | b=0.10 | trial  17 | gates= 224 |   48.5s | overall 225/1000
00:23:41 | b=0.10 | trial  32 | gates= 240 |   44.5s | overall 226/1000
00:23:42 | b=0.10 | trial  25 | gates= 228 |   48.4s | overall 227/1000
00:23:42 | b=0.10 | trial  31 | gates= 222 |   46.2s | overall 228/1000
00:23:43 | b=0.10 | trial  30 | gates= 234 |   46.9s | overall 229/1000
00:23:43 | b=0.10 | trial  33 | gates= 228 |   45.6s | overall 230/1000
00:23:43 | b=0.10 | trial  34 | gates= 236 |   44.4s | overall 231/1000
00:23:43 | b=0.10 | trial  26 | gates= 232 |   49.5s | overall 232/1000
00:23:44 | b=0.10 | trial  28 | gates= 234 |   49.4s | overall 233/1000
00:23:45 | b=0.10 | trial  29 | gates= 232 |   49.6s | overall 234/1000
00:23:45 | b=0.10 | trial  39 | gates= 242 |   42.4s | overall 235/1000
00:23:47 | b=0.10 | trial  36 | gates= 218 |   45.8s | overall 236/1000
00:23:47 | b=0.10 | trial  38 | gates= 230 |   43.8s | overall 237/1000
00:23:47 | b=0.10 | trial  35 | gates= 220 |   47.3s | overall 238/1000
00:23:50 | b=0.10 | trial  40 | gates= 230 |   45.6s | overall 239/1000
00:23:51 | b=0.10 | trial  37 | gates= 224 |   49.3s | overall 240/1000
00:24:17 | b=0.10 | trial  41 | gates= 228 |   43.0s | overall 241/1000
00:24:18 | b=0.10 | trial  46 | gates= 228 |   42.2s | overall 242/1000
00:24:18 | b=0.10 | trial  42 | gates= 236 |   43.2s | overall 243/1000
00:24:20 | b=0.10 | trial  47 | gates= 228 |   43.6s | overall 244/1000
00:24:20 | b=0.10 | trial  44 | gates= 220 |   44.6s | overall 245/1000
00:24:21 | b=0.10 | trial  43 | gates= 244 |   45.8s | overall 246/1000
00:24:21 | b=0.10 | trial  45 | gates= 220 |   45.7s | overall 247/1000
00:24:23 | b=0.10 | trial  52 | gates= 224 |   43.8s | overall 248/1000
00:24:23 | b=0.10 | trial  50 | gates= 238 |   44.7s | overall 249/1000
00:24:23 | b=0.10 | trial  49 | gates= 236 |   45.1s | overall 250/1000
00:24:24 | b=0.10 | trial  56 | gates= 232 |   42.3s | overall 251/1000
00:24:25 | b=0.10 | trial  51 | gates= 234 |   47.2s | overall 252/1000
00:24:25 | b=0.10 | trial  48 | gates= 234 |   48.4s | overall 253/1000
00:24:27 | b=0.10 | trial  58 | gates= 234 |   44.2s | overall 254/1000
00:24:27 | b=0.10 | trial  57 | gates= 230 |   44.5s | overall 255/1000
00:24:28 | b=0.10 | trial  55 | gates= 220 |   45.8s | overall 256/1000
00:24:28 | b=0.10 | trial  59 | gates= 230 |   44.8s | overall 257/1000
00:24:28 | b=0.10 | trial  53 | gates= 204 |   48.3s | overall 258/1000
00:24:28 | b=0.10 | trial  54 | gates= 234 |   46.9s | overall 259/1000
00:24:29 | b=0.10 | trial  63 | gates= 226 |   43.8s | overall 260/1000
00:24:30 | b=0.10 | trial  66 | gates= 234 |   42.9s | overall 261/1000
00:24:31 | b=0.10 | trial  64 | gates= 222 |   44.1s | overall 262/1000
00:24:33 | b=0.10 | trial  60 | gates= 236 |   49.4s | overall 263/1000
00:24:33 | b=0.10 | trial  65 | gates= 230 |   46.1s | overall 264/1000
00:24:34 | b=0.10 | trial  61 | gates= 238 |   49.5s | overall 265/1000
00:24:34 | b=0.10 | trial  67 | gates= 226 |   44.7s | overall 266/1000
00:24:35 | b=0.10 | trial  62 | gates= 228 |   49.5s | overall 267/1000
00:24:39 | b=0.10 | trial  68 | gates= 234 |   47.6s | overall 268/1000
00:24:58 | b=0.10 | trial  69 | gates= 238 |   40.8s | overall 269/1000
