# started 2026-08-31 23:13:19
23:15:35 | b=0.50 | trial  81 | gates= 214 |   42.8s | overall 78/1000
23:15:36 | b=0.50 | trial  79 | gates= 220 |   45.5s | overall 79/1000
23:15:36 | b=0.50 | trial  76 | gates= 214 |   47.2s | overall 80/1000
23:15:38 | b=0.50 | trial  84 | gates= 218 |   42.8s | overall 81/1000
23:15:38 | b=0.50 | trial  78 | gates= 210 |   47.3s | overall 82/1000
23:15:41 | b=0.50 | trial  82 | gates= 222 |   47.4s | overall 83/1000
23:15:42 | b=0.50 | trial  83 | gates= 220 |   47.9s | overall 84/1000
23:16:07 | b=0.50 | trial  85 | gates= 224 |   40.9s | overall 85/1000
23:16:08 | b=0.50 | trial  92 | gates= 216 |   40.6s | overall 86/1000
23:16:09 | b=0.50 | trial  90 | gates= 224 |   41.1s | overall 87/1000
23:16:09 | b=0.50 | trial  91 | gates= 214 |   41.4s | overall 88/1000
23:16:10 | b=0.50 | trial  89 | gates= 220 |   41.8s | overall 89/1000
23:16:10 | b=0.50 | trial  87 | gates= 216 |   43.3s | overall 90/1000
23:16:11 | b=0.50 | trial  88 | gates= 214 |   43.5s | overall 91/1000
23:16:11 | b=0.50 | trial  97 | gates= 218 |   41.3s | overall 92/1000
23:16:12 | b=0.50 | trial  95 | gates= 208 |   42.2s | overall 93/1000
23:16:12 | b=0.50 | trial  99 | gates= 220 |   41.8s | overall 94/1000
23:16:13 | b=0.50 | trial  86 | gates= 222 |   45.7s | overall 95/1000
23:16:13 | b=0.50 | trial  93 | gates= 218 |   43.6s | overall 96/1000
23:16:13 | b=0.50 | trial  98 | gates= 212 |   42.8s | overall 97/1000
23:16:14 | b=0.50 | trial  94 | gates= 228 |   44.2s | overall 98/1000
23:16:15 | b=0.50 | trial  96 | gates= 222 |   44.7s | overall 99/1000
23:16:15 | b=0.80 | trial   4 | gates= 220 |   41.2s | overall 100/1000
23:16:17 | b=0.80 | trial   2 | gates= 218 |   43.0s | overall 101/1000
23:16:18 | b=0.80 | trial   1 | gates= 216 |   46.0s | overall 102/1000
23:16:18 | b=0.80 | trial   6 | gates= 226 |   43.3s | overall 103/1000
23:16:18 | b=0.50 | trial 100 | gates= 222 |   47.2s | overall 104/1000
23:16:23 | b=0.80 | trial   3 | gates= 222 |   45.6s | overall 105/1000
23:16:23 | b=0.80 | trial   7 | gates= 222 |   44.5s | overall 106/1000
23:16:23 | b=0.80 | trial   5 | gates= 220 |   47.4s | overall 107/1000
23:16:23 | b=0.80 | trial   8 | gates= 222 |   46.5s | overall 108/1000
23:16:23 | b=0.80 | trial  10 | gates= 226 |   45.7s | overall 109/1000
23:16:24 | b=0.80 | trial  11 | gates= 222 |   42.4s | overall 110/1000
23:16:24 | b=0.80 | trial   9 | gates= 224 |   46.0s | overall 111/1000
23:16:30 | b=0.80 | trial  12 | gates= 218 |   47.6s | overall 112/1000
23:16:50 | b=0.80 | trial  13 | gates= 220 |   42.7s | overall 113/1000
23:16:52 | b=0.80 | trial  16 | gates= 226 |   42.4s | overall 114/1000
23:16:53 | b=0.80 | trial  15 | gates= 214 |   43.7s | overall 115/1000
23:16:54 | b=0.80 | trial  20 | gates= 214 |   42.1s | overall 116/1000
23:16:54 | b=0.80 | trial  19 | gates= 216 |   43.1s | overall 117/1000
23:16:55 | b=0.80 | trial  14 | gates= 228 |   46.0s | overall 118/1000
23:16:55 | b=0.80 | trial  17 | gates= 220 |   45.4s | overall 119/1000
23:16:56 | b=0.80 | trial  25 | gates= 220 |   42.6s | overall 120/1000
23:16:56 | b=0.80 | trial  24 | gates= 224 |   43.4s | overall 121/1000
23:16:57 | b=0.80 | trial  21 | gates= 224 |   44.6s | overall 122/1000
23:16:57 | b=0.80 | trial  26 | gates= 222 |   42.7s | overall 123/1000
23:16:59 | b=0.80 | trial  18 | gates= 222 |   48.4s | overall 124/1000
23:16:59 | b=0.80 | trial  22 | gates= 222 |   46.7s | overall 125/1000
23:16:59 | b=0.80 | trial  27 | gates= 228 |   44.5s | overall 126/1000
23:17:00 | b=0.80 | trial  30 | gates= 222 |   41.9s | overall 127/1000
23:17:00 | b=0.80 | trial  28 | gates= 222 |   44.3s | overall 128/1000
23:17:00 | b=0.80 | trial  23 | gates= 222 |   47.5s | overall 129/1000
23:17:01 | b=0.80 | trial  31 | gates= 228 |   42.7s | overall 130/1000
23:17:01 | b=0.80 | trial  29 | gates= 230 |   44.4s | overall 131/1000
23:17:04 | b=0.80 | trial  34 | gates= 224 |   43.8s | overall 132/1000
23:17:05 | b=0.80 | trial  33 | gates= 230 |   46.0s | overall 133/1000
23:17:07 | b=0.80 | trial  38 | gates= 222 |   43.1s | overall 134/1000
23:17:07 | b=0.80 | trial  32 | gates= 222 |   48.5s | overall 135/1000
23:17:07 | b=0.80 | trial  37 | gates= 222 |   44.2s | overall 136/1000
23:17:11 | b=0.80 | trial  35 | gates= 228 |   49.4s | overall 137/1000
23:17:11 | b=0.80 | trial  36 | gates= 218 |   48.2s | overall 138/1000
23:17:12 | b=0.80 | trial  39 | gates= 210 |   48.3s | overall 139/1000
23:17:13 | b=0.80 | trial  40 | gates= 218 |   43.9s | overall 140/1000
23:17:32 | b=0.80 | trial  41 | gates= 210 |   41.8s | overall 141/1000
23:17:37 | b=0.80 | trial  43 | gates= 218 |   44.1s | overall 142/1000
23:17:37 | b=0.80 | trial  42 | gates= 224 |   45.1s | overall 143/1000
23:17:37 | b=0.80 | trial  47 | gates= 222 |   42.4s | overall 144/1000
23:17:38 | b=0.80 | trial  48 | gates= 222 |   42.6s | overall 145/1000
23:17:38 | b=0.80 | trial  51 | gates= 224 |   41.7s | overall 146/1000
23:17:39 | b=0.80 | trial  46 | gates= 220 |   44.6s | overall 147/1000
23:17:41 | b=0.80 | trial  49 | gates= 230 |   44.3s | overall 148/1000
23:17:41 | b=0.80 | trial  55 | gates= 226 |   41.3s | overall 149/1000
23:17:42 | b=0.80 | trial  54 | gates= 222 |   42.6s | overall 150/1000
23:17:42 | b=0.80 | trial  45 | gates= 220 |   48.2s | overall 151/1000
23:17:43 | b=0.80 | trial  44 | gates= 218 |   49.1s | overall 152/1000
23:17:43 | b=0.80 | trial  53 | gates= 236 |   44.0s | overall 153/1000
23:17:43 | b=0.80 | trial  50 | gates= 216 |   46.5s | overall 154/1000
23:17:44 | b=0.80 | trial  52 | gates= 226 |   44.9s | overall 155/1000
23:17:44 | b=0.80 | trial  59 | gates= 222 |   43.1s | overall 156/1000
23:17:45 | b=0.80 | trial  58 | gates= 224 |   44.3s | overall 157/1000
23:17:45 | b=0.80 | trial  56 | gates= 222 |   45.7s | overall 158/1000
23:17:47 | b=0.80 | trial  57 | gates= 224 |   46.5s | overall 159/1000
23:17:49 | b=0.80 | trial  60 | gates= 218 |   44.5s | overall 160/1000
23:17:51 | b=0.80 | trial  62 | gates= 220 |   44.1s | overall 161/1000
23:17:51 | b=0.80 | trial  64 | gates= 224 |   43.3s | overall 162/1000
23:17:54 | b=0.80 | trial  61 | gates= 230 |   49.1s | overall 163/1000
