perm,best_gates,rep_perm,task,orbit_size
0 1 2 3 4 5 6 7,0,0 1 2 3 4 5 6 7,0,1
0 1 2 3 4 5 7 6,1,0 1 2 3 4 5 7 6,1,12
0 1 2 3 4 7 6 5,1,0 1 2 3 4 5 7 6,1,12
0 1 2 3 5 4 6 7,1,0 1 2 3 4 5 7 6,1,12
0 1 2 3 6 5 4 7,1,0 1 2 3 4 5 7 6,1,12
0 1 2 7 4 5 6 3,1,0 1 2 3 4 5 7 6,1,12
0 1 3 2 4 5 6 7,1,0 1 2 3 4 5 7 6,1,12
0 1 6 3 4 5 2 7,1,0 1 2 3 4 5 7 6,1,12
0 3 2 1 4 5 6 7,1,0 1 2 3 4 5 7 6,1,12
0 5 2 3 4 1 6 7,1,0 1 2 3 4 5 7 6,1,12
1 0 2 3 4 5 6 7,1,0 1 2 3 4 5 7 6,1,12
2 1 0 3 4 5 6 7,1,0 1 2 3 4 5 7 6,1,12
4 1 2 3 0 5 6 7,1,0 1 2 3 4 5 7 6,1,12
0 1 2 3 4 6 5 7,3,0 1 2 3 4 6 5 7,2,12
0 1 2 3 7 5 6 4,3,0 1 2 3 4 6 5 7,2,12
0 1 2 5 4 3 6 7,3,0 1 2 3 4 6 5 7,2,12
0 1 2 6 4 5 3 7,3,0 1 2 3 4 6 5 7,2,12
0 1 4 3 2 5 6 7,3,0 1 2 3 4 6 5 7,2,12
0 1 7 3 4 5 6 2,3,0 1 2 3 4 6 5 7,2,12
0 2 1 3 4 5 6 7,3,0 1 2 3 4 6 5 7,2,12
0 4 2 3 1 5 6 7,3,0 1 2 3 4 6 5 7,2,12
0 7 2 3 4 5 6 1,3,0 1 2 3 4 6 5 7,2,12
3 1 2 0 4 5 6 7,3,0 1 2 3 4 6 5 7,2,12
5 1 2 3 4 0 6 7,3,0 1 2 3 4 6 5 7,2,12
6 1 2 3 4 5 0 7,3,0 1 2 3 4 6 5 7,2,12
0 1 2 3 4 6 7 5,2,0 1 2 3 4 6 7 5,3,48
0 1 2 3 4 7 5 6,2,0 1 2 3 4 6 7 5,3,48
0 1 2 3 5 6 4 7,2,0 1 2 3 4 6 7 5,3,48
0 1 2 3 5 7 6 4,2,0 1 2 3 4 6 7 5,3,48
0 1 2 3 6 4 5 7,2,0 1 2 3 4 6 7 5,3,48
0 1 2 3 6 5 7 4,2,0 1 2 3 4 6 7 5,3,48
0 1 2 3 7 4 6 5,2,0 1 2 3 4 6 7 5,3,48
0 1 2 3 7 5 4 6,2,0 1 2 3 4 6 7 5,3,48
0 1 2 5 4 7 6 3,2,0 1 2 3 4 6 7 5,3,48
0 1 2 6 4 5 7 3,2,0 1 2 3 4 6 7 5,3,48
0 1 2 7 4 3 6 5,2,0 1 2 3 4 6 7 5,3,48
0 1 2 7 4 5 3 6,2,0 1 2 3 4 6 7 5,3,48
0 1 3 6 4 5 2 7,2,0 1 2 3 4 6 7 5,3,48
0 1 3 7 4 5 6 2,2,0 1 2 3 4 6 7 5,3,48
0 1 4 3 6 5 2 7,2,0 1 2 3 4 6 7 5,3,48
0 1 6 2 4 5 3 7,2,0 1 2 3 4 6 7 5,3,48
0 1 6 3 2 5 4 7,2,0 1 2 3 4 6 7 5,3,48
0 1 6 3 4 5 7 2,2,0 1 2 3 4 6 7 5,3,48
0 1 7 2 4 5 6 3,2,0 1 2 3 4 6 7 5,3,48
0 1 7 3 4 5 2 6,2,0 1 2 3 4 6 7 5,3,48
0 2 3 1 4 5 6 7,2,0 1 2 3 4 6 7 5,3,48
0 3 1 2 4 5 6 7,2,0 1 2 3 4 6 7 5,3,48
0 3 2 5 4 1 6 7,2,0 1 2 3 4 6 7 5,3,48
0 3 2 7 4 5 6 1,2,0 1 2 3 4 6 7 5,3,48
0 4 2 3 5 1 6 7,2,0 1 2 3 4 6 7 5,3,48
0 5 2 1 4 3 6 7,2,0 1 2 3 4 6 7 5,3,48
0 5 2 3 1 4 6 7,2,0 1 2 3 4 6 7 5,3,48
0 5 2 3 4 7 6 1,2,0 1 2 3 4 6 7 5,3,48
0 7 2 1 4 5 6 3,2,0 1 2 3 4 6 7 5,3,48
0 7 2 3 4 1 6 5,2,0 1 2 3 4 6 7 5,3,48
1 2 0 3 4 5 6 7,2,0 1 2 3 4 6 7 5,3,48
1 3 2 0 4 5 6 7,2,0 1 2 3 4 6 7 5,3,48
1 4 2 3 0 5 6 7,2,0 1 2 3 4 6 7 5,3,48
1 5 2 3 4 0 6 7,2,0 1 2 3 4 6 7 5,3,48
2 0 1 3 4 5 6 7,2,0 1 2 3 4 6 7 5,3,48
2 1 3 0 4 5 6 7,2,0 1 2 3 4 6 7 5,3,48
2 1 4 3 0 5 6 7,2,0 1 2 3 4 6 7 5,3,48
2 1 6 3 4 5 0 7,2,0 1 2 3 4 6 7 5,3,48
3 0 2 1 4 5 6 7,2,0 1 2 3 4 6 7 5,3,48
3 1 0 2 4 5 6 7,2,0 1 2 3 4 6 7 5,3,48
4 0 2 3 1 5 6 7,2,0 1 2 3 4 6 7 5,3,48
4 1 0 3 2 5 6 7,2,0 1 2 3 4 6 7 5,3,48
4 1 2 3 5 0 6 7,2,0 1 2 3 4 6 7 5,3,48
4 1 2 3 6 5 0 7,2,0 1 2 3 4 6 7 5,3,48
5 0 2 3 4 1 6 7,2,0 1 2 3 4 6 7 5,3,48
5 1 2 3 0 4 6 7,2,0 1 2 3 4 6 7 5,3,48
6 1 0 3 4 5 2 7,2,0 1 2 3 4 6 7 5,3,48
6 1 2 3 0 5 4 7,2,0 1 2 3 4 6 7 5,3,48
0 1 2 3 5 4 7 6,2,0 1 2 3 5 4 7 6,4,12
0 1 2 3 6 7 4 5,2,0 1 2 3 5 4 7 6,4,12
0 1 3 2 4 5 7 6,2,0 1 2 3 5 4 7 6,4,12
0 1 6 7 4 5 2 3,2,0 1 2 3 5 4 7 6,4,12
0 3 2 1 4 7 6 5,2,0 1 2 3 5 4 7 6,4,12
0 5 2 7 4 1 6 3,2,0 1 2 3 5 4 7 6,4,12
1 0 2 3 5 4 6 7,2,0 1 2 3 5 4 7 6,4,12
1 0 3 2 4 5 6 7,2,0 1 2 3 5 4 7 6,4,12
2 1 0 3 6 5 4 7,2,0 1 2 3 5 4 7 6,4,12
2 3 0 1 4 5 6 7,2,0 1 2 3 5 4 7 6,4,12
4 1 6 3 0 5 2 7,2,0 1 2 3 5 4 7 6,4,12
4 5 2 3 0 1 6 7,2,0 1 2 3 5 4 7 6,4,12
0 1 2 3 5 6 7 4,3,0 1 2 3 5 6 7 4,5,24
0 1 2 3 6 7 5 4,3,0 1 2 3 5 6 7 4,5,24
0 1 2 3 7 4 5 6,3,0 1 2 3 5 6 7 4,5,24
0 1 2 3 7 6 4 5,3,0 1 2 3 5 6 7 4,5,24
0 1 3 6 4 5 7 2,3,0 1 2 3 5 6 7 4,5,24
0 1 6 7 4 5 3 2,3,0 1 2 3 5 6 7 4,5,24
0 1 7 2 4 5 3 6,3,0 1 2 3 5 6 7 4,5,24
0 1 7 6 4 5 2 3,3,0 1 2 3 5 6 7 4,5,24
0 3 2 5 4 7 6 1,3,0 1 2 3 5 6 7 4,5,24
0 5 2 7 4 3 6 1,3,0 1 2 3 5 6 7 4,5,24
0 7 2 1 4 3 6 5,3,0 1 2 3 5 6 7 4,5,24
0 7 2 5 4 1 6 3,3,0 1 2 3 5 6 7 4,5,24
1 2 3 0 4 5 6 7,3,0 1 2 3 5 6 7 4,5,24
1 4 2 3 5 0 6 7,3,0 1 2 3 5 6 7 4,5,24
2 1 4 3 6 5 0 7,3,0 1 2 3 5 6 7 4,5,24
2 3 1 0 4 5 6 7,3,0 1 2 3 5 6 7 4,5,24
3 0 1 2 4 5 6 7,3,0 1 2 3 5 6 7 4,5,24
3 2 0 1 4 5 6 7,3,0 1 2 3 5 6 7 4,5,24
4 1 6 3 2 5 0 7,3,0 1 2 3 5 6 7 4,5,24
4 5 2 3 1 0 6 7,3,0 1 2 3 5 6 7 4,5,24
5 0 2 3 1 4 6 7,3,0 1 2 3 5 6 7 4,5,24
5 4 2 3 0 1 6 7,3,0 1 2 3 5 6 7 4,5,24
6 1 0 3 2 5 4 7,3,0 1 2 3 5 6 7 4,5,24
6 1 4 3 0 5 2 7,3,0 1 2 3 5 6 7 4,5,24
0 1 2 3 5 7 4 6,3,0 1 2 3 5 7 4 6,6,12
0 1 2 3 6 4 7 5,3,0 1 2 3 5 7 4 6,6,12
0 1 3 7 4 5 2 6,3,0 1 2 3 5 7 4 6,6,12
0 1 6 2 4 5 7 3,3,0 1 2 3 5 7 4 6,6,12
0 3 2 7 4 1 6 5,3,0 1 2 3 5 7 4 6,6,12
0 5 2 1 4 7 6 3,3,0 1 2 3 5 7 4 6,6,12
1 3 0 2 4 5 6 7,3,0 1 2 3 5 7 4 6,6,12
1 5 2 3 0 4 6 7,3,0 1 2 3 5 7 4 6,6,12
2 0 3 1 4 5 6 7,3,0 1 2 3 5 7 4 6,6,12
2 1 6 3 0 5 4 7,3,0 1 2 3 5 7 4 6,6,12
4 0 2 3 5 1 6 7,3,0 1 2 3 5 7 4 6,6,12
4 1 0 3 6 5 2 7,3,0 1 2 3 5 7 4 6,6,12
0 1 2 3 7 6 5 4,4,0 1 2 3 7 6 5 4,7,6
0 1 7 6 4 5 3 2,4,0 1 2 3 7 6 5 4,7,6
0 7 2 5 4 3 6 1,4,0 1 2 3 7 6 5 4,7,6
3 2 1 0 4 5 6 7,4,0 1 2 3 7 6 5 4,7,6
5 4 2 3 1 0 6 7,4,0 1 2 3 7 6 5 4,7,6
6 1 4 3 2 5 0 7,4,0 1 2 3 7 6 5 4,7,6
0 1 2 4 3 5 6 7,5,0 1 2 4 3 5 6 7,8,4
0 1 5 3 4 2 6 7,5,0 1 2 4 3 5 6 7,8,4
0 6 2 3 4 5 1 7,5,0 1 2 4 3 5 6 7,8,4
7 1 2 3 4 5 6 0,5,0 1 2 4 3 5 6 7,8,4
0 1 2 4 3 5 7 6,6,0 1 2 4 3 5 7 6,9,24
0 1 2 4 3 7 6 5,6,0 1 2 4 3 5 7 6,9,24
0 1 5 3 4 2 7 6,6,0 1 2 4 3 5 7 6,9,24
0 1 5 3 6 2 4 7,6,0 1 2 4 3 5 7 6,9,24
0 1 5 7 4 2 6 3,6,0 1 2 4 3 5 7 6,9,24
0 1 6 4 3 5 2 7,6,0 1 2 4 3 5 7 6,9,24
0 3 5 1 4 2 6 7,6,0 1 2 4 3 5 7 6,9,24
0 5 2 4 3 1 6 7,6,0 1 2 4 3 5 7 6,9,24
0 6 2 3 4 7 1 5,6,0 1 2 4 3 5 7 6,9,24
0 6 2 3 5 4 1 7,6,0 1 2 4 3 5 7 6,9,24
0 6 2 7 4 5 1 3,6,0 1 2 4 3 5 7 6,9,24
0 6 3 2 4 5 1 7,6,0 1 2 4 3 5 7 6,9,24
1 0 2 4 3 5 6 7,6,0 1 2 4 3 5 7 6,9,24
1 0 5 3 4 2 6 7,6,0 1 2 4 3 5 7 6,9,24
2 1 0 4 3 5 6 7,6,0 1 2 4 3 5 7 6,9,24
2 6 0 3 4 5 1 7,6,0 1 2 4 3 5 7 6,9,24
4 1 5 3 0 2 6 7,6,0 1 2 4 3 5 7 6,9,24
4 6 2 3 0 5 1 7,6,0 1 2 4 3 5 7 6,9,24
7 1 2 3 5 4 6 0,6,0 1 2 4 3 5 7 6,9,24
7 1 2 3 6 5 4 0,6,0 1 2 4 3 5 7 6,9,24
7 1 3 2 4 5 6 0,6,0 1 2 4 3 5 7 6,9,24
7 1 6 3 4 5 2 0,6,0 1 2 4 3 5 7 6,9,24
7 3 2 1 4 5 6 0,6,0 1 2 4 3 5 7 6,9,24
7 5 2 3 4 1 6 0,6,0 1 2 4 3 5 7 6,9,24
0 1 2 4 3 6 5 7,6,0 1 2 4 3 6 5 7,10,24
0 1 5 3 7 2 6 4,6,0 1 2 4 3 6 5 7,10,24
0 1 5 6 4 2 3 7,6,0 1 2 4 3 6 5 7,10,24
0 1 7 4 3 5 6 2,6,0 1 2 4 3 6 5 7,10,24
0 2 1 4 3 5 6 7,6,0 1 2 4 3 6 5 7,10,24
0 4 5 3 1 2 6 7,6,0 1 2 4 3 6 5 7,10,24
0 6 2 3 7 5 1 4,6,0 1 2 4 3 6 5 7,10,24
0 6 2 5 4 3 1 7,6,0 1 2 4 3 6 5 7,10,24
0 6 4 3 2 5 1 7,6,0 1 2 4 3 6 5 7,10,24
0 6 7 3 4 5 1 2,6,0 1 2 4 3 6 5 7,10,24
0 7 2 4 3 5 6 1,6,0 1 2 4 3 6 5 7,10,24
0 7 5 3 4 2 6 1,6,0 1 2 4 3 6 5 7,10,24
3 1 5 0 4 2 6 7,6,0 1 2 4 3 6 5 7,10,24
3 6 2 0 4 5 1 7,6,0 1 2 4 3 6 5 7,10,24
5 1 2 4 3 0 6 7,6,0 1 2 4 3 6 5 7,10,24
5 6 2 3 4 0 1 7,6,0 1 2 4 3 6 5 7,10,24
6 1 2 4 3 5 0 7,6,0 1 2 4 3 6 5 7,10,24
6 1 5 3 4 2 0 7,6,0 1 2 4 3 6 5 7,10,24
7 1 2 3 4 6 5 0,6,0 1 2 4 3 6 5 7,10,24
7 1 2 5 4 3 6 0,6,0 1 2 4 3 6 5 7,10,24
7 1 2 6 4 5 3 0,6,0 1 2 4 3 6 5 7,10,24
7 1 4 3 2 5 6 0,6,0 1 2 4 3 6 5 7,10,24
7 2 1 3 4 5 6 0,6,0 1 2 4 3 6 5 7,10,24
7 4 2 3 1 5 6 0,6,0 1 2 4 3 6 5 7,10,24
0 1 2 4 3 6 7 5,7,0 1 2 4 3 6 7 5,11,48
0 1 2 4 3 7 5 6,7,0 1 2 4 3 6 7 5,11,48
0 1 5 3 6 2 7 4,7,0 1 2 4 3 6 7 5,11,48
0 1 5 3 7 2 4 6,7,0 1 2 4 3 6 7 5,11,48
0 1 5 6 4 2 7 3,7,0 1 2 4 3 6 7 5,11,48
0 1 5 7 4 2 3 6,7,0 1 2 4 3 6 7 5,11,48
0 1 6 4 3 5 7 2,7,0 1 2 4 3 6 7 5,11,48
0 1 7 4 3 5 2 6,7,0 1 2 4 3 6 7 5,11,48
0 3 5 7 4 2 6 1,7,0 1 2 4 3 6 7 5,11,48
0 5 2 4 3 7 6 1,7,0 1 2 4 3 6 7 5,11,48
0 6 2 3 5 7 1 4,7,0 1 2 4 3 6 7 5,11,48
0 6 2 3 7 4 1 5,7,0 1 2 4 3 6 7 5,11,48
0 6 2 5 4 7 1 3,7,0 1 2 4 3 6 7 5,11,48
0 6 2 7 4 3 1 5,7,0 1 2 4 3 6 7 5,11,48
0 6 3 7 4 5 1 2,7,0 1 2 4 3 6 7 5,11,48
0 6 7 2 4 5 1 3,7,0 1 2 4 3 6 7 5,11,48
0 7 2 4 3 1 6 5,7,0 1 2 4 3 6 7 5,11,48
0 7 5 1 4 2 6 3,7,0 1 2 4 3 6 7 5,11,48
1 2 0 4 3 5 6 7,7,0 1 2 4 3 6 7 5,11,48
1 3 5 0 4 2 6 7,7,0 1 2 4 3 6 7 5,11,48
1 4 5 3 0 2 6 7,7,0 1 2 4 3 6 7 5,11,48
1 5 2 4 3 0 6 7,7,0 1 2 4 3 6 7 5,11,48
2 0 1 4 3 5 6 7,7,0 1 2 4 3 6 7 5,11,48
2 1 6 4 3 5 0 7,7,0 1 2 4 3 6 7 5,11,48
2 6 3 0 4 5 1 7,7,0 1 2 4 3 6 7 5,11,48
2 6 4 3 0 5 1 7,7,0 1 2 4 3 6 7 5,11,48
3 0 5 1 4 2 6 7,7,0 1 2 4 3 6 7 5,11,48
3 6 0 2 4 5 1 7,7,0 1 2 4 3 6 7 5,11,48
4 0 5 3 1 2 6 7,7,0 1 2 4 3 6 7 5,11,48
4 1 5 3 6 2 0 7,7,0 1 2 4 3 6 7 5,11,48
4 6 0 3 2 5 1 7,7,0 1 2 4 3 6 7 5,11,48
4 6 2 3 5 0 1 7,7,0 1 2 4 3 6 7 5,11,48
5 0 2 4 3 1 6 7,7,0 1 2 4 3 6 7 5,11,48
5 6 2 3 0 4 1 7,7,0 1 2 4 3 6 7 5,11,48
6 1 0 4 3 5 2 7,7,0 1 2 4 3 6 7 5,11,48
6 1 5 3 0 2 4 7,7,0 1 2 4 3 6 7 5,11,48
7 1 2 3 5 6 4 0,7,0 1 2 4 3 6 7 5,11,48
7 1 2 3 6 4 5 0,7,0 1 2 4 3 6 7 5,11,48
7 1 3 6 4 5 2 0,7,0 1 2 4 3 6 7 5,11,48
7 1 4 3 6 5 2 0,7,0 1 2 4 3 6 7 5,11,48
7 1 6 2 4 5 3 0,7,0 1 2 4 3 6 7 5,11,48
7 1 6 3 2 5 4 0,7,0 1 2 4 3 6 7 5,11,48
7 2 3 1 4 5 6 0,7,0 1 2 4 3 6 7 5,11,48
7 3 1 2 4 5 6 0,7,0 1 2 4 3 6 7 5,11,48
7 3 2 5 4 1 6 0,7,0 1 2 4 3 6 7 5,11,48
7 4 2 3 5 1 6 0,7,0 1 2 4 3 6 7 5,11,48
7 5 2 1 4 3 6 0,7,0 1 2 4 3 6 7 5,11,48
7 5 2 3 1 4 6 0,7,0 1 2 4 3 6 7 5,11,48
0 1 2 4 5 3 6 7,4,0 1 2 4 5 3 6 7,12,24
0 1 2 4 6 5 3 7,4,0 1 2 4 5 3 6 7,12,24
0 1 2 7 3 5 6 4,4,0 1 2 4 5 3 6 7,12,24
0 1 3 5 4 2 6 7,4,0 1 2 4 5 3 6 7,12,24
0 1 4 2 3 5 6 7,4,0 1 2 4 5 3 6 7,12,24
0 1 5 3 2 4 6 7,4,0 1 2 4 5 3 6 7,12,24
0 1 5 3 4 7 6 2,4,0 1 2 4 5 3 6 7,12,24
0 1 6 3 4 2 5 7,4,0 1 2 4 5 3 6 7,12,24
0 2 5 3 4 1 6 7,4,0 1 2 4 5 3 6 7,12,24
0 3 2 6 4 5 1 7,4,0 1 2 4 5 3 6 7,12,24
0 4 2 1 3 5 6 7,4,0 1 2 4 5 3 6 7,12,24
0 5 2 3 4 6 1 7,4,0 1 2 4 5 3 6 7,12,24
0 6 1 3 4 5 2 7,4,0 1 2 4 5 3 6 7,12,24
0 6 2 3 1 5 4 7,4,0 1 2 4 5 3 6 7,12,24
0 6 2 3 4 5 7 1,4,0 1 2 4 5 3 6 7,12,24
1 7 2 3 4 5 6 0,4,0 1 2 4 5 3 6 7,12,24
2 1 7 3 4 5 6 0,4,0 1 2 4 5 3 6 7,12,24
3 1 2 4 0 5 6 7,4,0 1 2 4 5 3 6 7,12,24
4 1 2 3 7 5 6 0,4,0 1 2 4 5 3 6 7,12,24
5 1 0 3 4 2 6 7,4,0 1 2 4 5 3 6 7,12,24
6 0 2 3 4 5 1 7,4,0 1 2 4 5 3 6 7,12,24
7 1 2 0 4 5 6 3,4,0 1 2 4 5 3 6 7,12,24
7 1 2 3 4 0 6 5,4,0 1 2 4 5 3 6 7,12,24
7 1 2 3 4 5 0 6,4,0 1 2 4 5 3 6 7,12,24
0 1 2 4 5 3 7 6,5,0 1 2 4 5 3 7 6,13,48
0 1 2 4 6 7 3 5,5,0 1 2 4 5 3 7 6,13,48
0 1 3 5 4 2 7 6,5,0 1 2 4 5 3 7 6,13,48
0 1 4 2 3 5 7 6,5,0 1 2 4 5 3 7 6,13,48
0 1 5 3 2 4 7 6,5,0 1 2 4 5 3 7 6,13,48
0 1 5 3 6 7 4 2,5,0 1 2 4 5 3 7 6,13,48
0 1 6 7 3 5 2 4,5,0 1 2 4 5 3 7 6,13,48
0 1 6 7 4 2 5 3,5,0 1 2 4 5 3 7 6,13,48
0 2 5 7 4 1 6 3,5,0 1 2 4 5 3 7 6,13,48
0 3 2 6 4 7 1 5,5,0 1 2 4 5 3 7 6,13,48
0 3 5 1 4 7 6 2,5,0 1 2 4 5 3 7 6,13,48
0 4 2 1 3 7 6 5,5,0 1 2 4 5 3 7 6,13,48
0 5 2 7 3 1 6 4,5,0 1 2 4 5 3 7 6,13,48
0 5 2 7 4 6 1 3,5,0 1 2 4 5 3 7 6,13,48
0 6 1 7 4 5 2 3,5,0 1 2 4 5 3 7 6,13,48
0 6 2 3 1 7 4 5,5,0 1 2 4 5 3 7 6,13,48
0 6 2 3 5 4 7 1,5,0 1 2 4 5 3 7 6,13,48
0 6 3 2 4 5 7 1,5,0 1 2 4 5 3 7 6,13,48
1 0 2 4 5 3 6 7,5,0 1 2 4 5 3 7 6,13,48
1 0 3 5 4 2 6 7,5,0 1 2 4 5 3 7 6,13,48
1 0 4 2 3 5 6 7,5,0 1 2 4 5 3 7 6,13,48
1 0 5 3 2 4 6 7,5,0 1 2 4 5 3 7 6,13,48
1 7 2 3 5 4 6 0,5,0 1 2 4 5 3 7 6,13,48
1 7 3 2 4 5 6 0,5,0 1 2 4 5 3 7 6,13,48
2 1 0 4 6 5 3 7,5,0 1 2 4 5 3 7 6,13,48
2 1 7 3 6 5 4 0,5,0 1 2 4 5 3 7 6,13,48
2 3 0 6 4 5 1 7,5,0 1 2 4 5 3 7 6,13,48
2 3 7 1 4 5 6 0,5,0 1 2 4 5 3 7 6,13,48
2 4 0 1 3 5 6 7,5,0 1 2 4 5 3 7 6,13,48
2 6 0 3 1 5 4 7,5,0 1 2 4 5 3 7 6,13,48
3 1 6 4 0 5 2 7,5,0 1 2 4 5 3 7 6,13,48
3 5 2 4 0 1 6 7,5,0 1 2 4 5 3 7 6,13,48
4 1 6 3 0 2 5 7,5,0 1 2 4 5 3 7 6,13,48
4 1 6 3 7 5 2 0,5,0 1 2 4 5 3 7 6,13,48
4 2 5 3 0 1 6 7,5,0 1 2 4 5 3 7 6,13,48
4 5 2 3 0 6 1 7,5,0 1 2 4 5 3 7 6,13,48
4 5 2 3 7 1 6 0,5,0 1 2 4 5 3 7 6,13,48
4 6 1 3 0 5 2 7,5,0 1 2 4 5 3 7 6,13,48
5 1 0 3 6 2 4 7,5,0 1 2 4 5 3 7 6,13,48
5 3 0 1 4 2 6 7,5,0 1 2 4 5 3 7 6,13,48
6 0 2 3 5 4 1 7,5,0 1 2 4 5 3 7 6,13,48
6 0 3 2 4 5 1 7,5,0 1 2 4 5 3 7 6,13,48
7 1 2 3 5 4 0 6,5,0 1 2 4 5 3 7 6,13,48
7 1 2 3 6 0 4 5,5,0 1 2 4 5 3 7 6,13,48
7 1 3 2 4 5 0 6,5,0 1 2 4 5 3 7 6,13,48
7 1 6 0 4 5 2 3,5,0 1 2 4 5 3 7 6,13,48
7 3 2 1 4 0 6 5,5,0 1 2 4 5 3 7 6,13,48
7 5 2 0 4 1 6 3,5,0 1 2 4 5 3 7 6,13,48
0 1 2 4 5 6 3 7,5,0 1 2 4 5 6 3 7,14,48
0 1 2 4 6 3 5 7,5,0 1 2 4 5 6 3 7,14,48
0 1 3 6 4 2 5 7,5,0 1 2 4 5 6 3 7,14,48
0 1 4 7 3 5 6 2,5,0 1 2 4 5 6 3 7,14,48
0 1 5 3 2 7 6 4,5,0 1 2 4 5 6 3 7,14,48
0 1 5 3 7 4 6 2,5,0 1 2 4 5 6 3 7,14,48
0 1 6 5 4 2 3 7,5,0 1 2 4 5 6 3 7,14,48
0 1 7 2 3 5 6 4,5,0 1 2 4 5 6 3 7,14,48
0 2 4 1 3 5 6 7,5,0 1 2 4 5 6 3 7,14,48
0 2 5 3 1 4 6 7,5,0 1 2 4 5 6 3 7,14,48
0 2 5 3 4 7 6 1,5,0 1 2 4 5 6 3 7,14,48
0 3 2 5 4 6 1 7,5,0 1 2 4 5 6 3 7,14,48
0 4 1 2 3 5 6 7,5,0 1 2 4 5 6 3 7,14,48
0 4 2 7 3 5 6 1,5,0 1 2 4 5 6 3 7,14,48
0 4 5 3 2 1 6 7,5,0 1 2 4 5 6 3 7,14,48
0 5 2 6 4 3 1 7,5,0 1 2 4 5 6 3 7,14,48
0 6 1 3 2 5 4 7,5,0 1 2 4 5 6 3 7,14,48
0 6 1 3 4 5 7 2,5,0 1 2 4 5 6 3 7,14,48
0 6 2 3 1 5 7 4,5,0 1 2 4 5 6 3 7,14,48
0 6 2 3 7 5 4 1,5,0 1 2 4 5 6 3 7,14,48
0 6 4 3 1 5 2 7,5,0 1 2 4 5 6 3 7,14,48
0 6 7 3 4 5 2 1,5,0 1 2 4 5 6 3 7,14,48
0 7 2 1 3 5 6 4,5,0 1 2 4 5 6 3 7,14,48
0 7 5 3 4 1 6 2,5,0 1 2 4 5 6 3 7,14,48
1 2 7 3 4 5 6 0,5,0 1 2 4 5 6 3 7,14,48
1 4 2 3 7 5 6 0,5,0 1 2 4 5 6 3 7,14,48
2 1 4 3 7 5 6 0,5,0 1 2 4 5 6 3 7,14,48
2 7 1 3 4 5 6 0,5,0 1 2 4 5 6 3 7,14,48
3 0 2 6 4 5 1 7,5,0 1 2 4 5 6 3 7,14,48
3 1 0 5 4 2 6 7,5,0 1 2 4 5 6 3 7,14,48
3 1 2 4 5 0 6 7,5,0 1 2 4 5 6 3 7,14,48
3 1 2 4 6 5 0 7,5,0 1 2 4 5 6 3 7,14,48
4 1 7 3 2 5 6 0,5,0 1 2 4 5 6 3 7,14,48
4 7 2 3 1 5 6 0,5,0 1 2 4 5 6 3 7,14,48
5 0 2 3 4 6 1 7,5,0 1 2 4 5 6 3 7,14,48
5 1 2 4 0 3 6 7,5,0 1 2 4 5 6 3 7,14,48
5 1 3 0 4 2 6 7,5,0 1 2 4 5 6 3 7,14,48
5 1 6 3 4 2 0 7,5,0 1 2 4 5 6 3 7,14,48
6 1 0 3 4 2 5 7,5,0 1 2 4 5 6 3 7,14,48
6 1 2 4 0 5 3 7,5,0 1 2 4 5 6 3 7,14,48
6 3 2 0 4 5 1 7,5,0 1 2 4 5 6 3 7,14,48
6 5 2 3 4 0 1 7,5,0 1 2 4 5 6 3 7,14,48
7 1 2 0 4 3 6 5,5,0 1 2 4 5 6 3 7,14,48
7 1 2 0 4 5 3 6,5,0 1 2 4 5 6 3 7,14,48
7 1 2 3 4 0 5 6,5,0 1 2 4 5 6 3 7,14,48
7 1 2 3 4 6 0 5,5,0 1 2 4 5 6 3 7,14,48
7 1 2 5 4 0 6 3,5,0 1 2 4 5 6 3 7,14,48
7 1 2 6 4 5 0 3,5,0 1 2 4 5 6 3 7,14,48
0 1 2 4 5 6 7 3,4,0 1 2 4 5 6 7 3,15,48
0 1 2 4 6 7 5 3,4,0 1 2 4 5 6 7 3,15,48
0 1 3 6 4 2 7 5,4,0 1 2 4 5 6 7 3,15,48
0 1 5 3 6 7 2 4,4,0 1 2 4 5 6 7 3,15,48
0 1 5 3 7 4 2 6,4,0 1 2 4 5 6 7 3,15,48
0 1 6 7 3 5 4 2,4,0 1 2 4 5 6 7 3,15,48
0 1 6 7 4 2 3 5,4,0 1 2 4 5 6 7 3,15,48
0 1 7 2 3 5 4 6,4,0 1 2 4 5 6 7 3,15,48
0 3 2 5 4 7 1 6,4,0 1 2 4 5 6 7 3,15,48
0 3 5 2 4 7 6 1,4,0 1 2 4 5 6 7 3,15,48
0 5 2 7 3 4 6 1,4,0 1 2 4 5 6 7 3,15,48
0 5 2 7 4 3 1 6,4,0 1 2 4 5 6 7 3,15,48
0 6 2 3 5 1 7 4,4,0 1 2 4 5 6 7 3,15,48
0 6 2 3 7 1 4 5,4,0 1 2 4 5 6 7 3,15,48
0 6 3 1 4 5 7 2,4,0 1 2 4 5 6 7 3,15,48
0 6 7 1 4 5 2 3,4,0 1 2 4 5 6 7 3,15,48
0 7 2 1 3 4 6 5,4,0 1 2 4 5 6 7 3,15,48
0 7 5 2 4 1 6 3,4,0 1 2 4 5 6 7 3,15,48
1 2 3 7 4 5 6 0,4,0 1 2 4 5 6 7 3,15,48
1 3 2 4 5 0 6 7,4,0 1 2 4 5 6 7 3,15,48
