# started 2026-09-01 10:36:33
# cached: b=0.45, a:2.0->0.0 (p=1.0) (100 trials reused)
# cached: b=0.30, a:2.0->0.0 (p=1.0) (100 trials reused)
10:38:09 | b=0.45, a:3.0->0.0 (p=1.0) | trial  55 | gates= 224 |   47.3s | overall 254/1000
10:38:09 | b=0.45, a:3.0->0.0 (p=1.0) | trial  54 | gates= 216 |   47.6s | overall 255/1000
10:38:09 | b=0.45, a:3.0->0.0 (p=1.0) | trial  52 | gates= 222 |   47.8s | overall 256/1000
10:38:38 | b=0.45, a:3.0->0.0 (p=1.0) | trial  57 | gates= 226 |   41.5s | overall 257/1000
10:38:39 | b=0.45, a:3.0->0.0 (p=1.0) | trial  59 | gates= 218 |   41.2s | overall 258/1000
10:38:40 | b=0.45, a:3.0->0.0 (p=1.0) | trial  58 | gates= 214 |   42.6s | overall 259/1000
10:38:42 | b=0.45, a:3.0->0.0 (p=1.0) | trial  61 | gates= 220 |   43.1s | overall 260/1000
10:38:42 | b=0.45, a:3.0->0.0 (p=1.0) | trial  72 | gates= 220 |   40.6s | overall 261/1000
10:38:42 | b=0.45, a:3.0->0.0 (p=1.0) | trial  68 | gates= 226 |   41.9s | overall 262/1000
10:38:43 | b=0.45, a:3.0->0.0 (p=1.0) | trial  65 | gates= 218 |   42.9s | overall 263/1000
10:38:43 | b=0.45, a:3.0->0.0 (p=1.0) | trial  67 | gates= 216 |   43.1s | overall 264/1000
10:38:43 | b=0.45, a:3.0->0.0 (p=1.0) | trial  64 | gates= 224 |   44.1s | overall 265/1000
10:38:43 | b=0.45, a:3.0->0.0 (p=1.0) | trial  60 | gates= 220 |   44.9s | overall 266/1000
10:38:44 | b=0.45, a:3.0->0.0 (p=1.0) | trial  70 | gates= 220 |   42.5s | overall 267/1000
10:38:44 | b=0.45, a:3.0->0.0 (p=1.0) | trial  73 | gates= 226 |   41.9s | overall 268/1000
10:38:44 | b=0.45, a:3.0->0.0 (p=1.0) | trial  69 | gates= 222 |   43.3s | overall 269/1000
10:38:44 | b=0.45, a:3.0->0.0 (p=1.0) | trial  66 | gates= 218 |   43.9s | overall 270/1000
10:38:44 | b=0.45, a:3.0->0.0 (p=1.0) | trial  62 | gates= 224 |   45.0s | overall 271/1000
10:38:45 | b=0.45, a:3.0->0.0 (p=1.0) | trial  71 | gates= 222 |   43.8s | overall 272/1000
10:38:46 | b=0.45, a:3.0->0.0 (p=1.0) | trial  75 | gates= 228 |   42.7s | overall 273/1000
10:38:46 | b=0.45, a:3.0->0.0 (p=1.0) | trial  63 | gates= 222 |   47.1s | overall 274/1000
10:38:48 | b=0.45, a:3.0->0.0 (p=1.0) | trial  77 | gates= 214 |   41.9s | overall 275/1000
10:38:48 | b=0.45, a:3.0->0.0 (p=1.0) | trial  74 | gates= 220 |   45.6s | overall 276/1000
10:38:51 | b=0.45, a:3.0->0.0 (p=1.0) | trial  76 | gates= 224 |   47.4s | overall 277/1000
10:38:51 | b=0.45, a:3.0->0.0 (p=1.0) | trial  79 | gates= 220 |   42.1s | overall 278/1000
10:38:52 | b=0.45, a:3.0->0.0 (p=1.0) | trial  81 | gates= 216 |   43.0s | overall 279/1000
10:38:53 | b=0.45, a:3.0->0.0 (p=1.0) | trial  80 | gates= 210 |   43.5s | overall 280/1000
10:38:55 | b=0.45, a:3.0->0.0 (p=1.0) | trial  78 | gates= 218 |   46.7s | overall 281/1000
10:38:57 | b=0.45, a:3.0->0.0 (p=1.0) | trial  84 | gates= 216 |   47.3s | overall 282/1000
10:38:57 | b=0.45, a:3.0->0.0 (p=1.0) | trial  82 | gates= 214 |   47.6s | overall 283/1000
10:38:58 | b=0.45, a:3.0->0.0 (p=1.0) | trial  83 | gates= 218 |   48.4s | overall 284/1000
10:39:19 | b=0.45, a:3.0->0.0 (p=1.0) | trial  85 | gates= 218 |   41.3s | overall 285/1000
10:39:23 | b=0.45, a:3.0->0.0 (p=1.0) | trial  87 | gates= 218 |   42.7s | overall 286/1000
10:39:23 | b=0.45, a:3.0->0.0 (p=1.0) | trial  86 | gates= 210 |   43.7s | overall 287/1000
10:39:23 | b=0.45, a:3.0->0.0 (p=1.0) | trial  88 | gates= 206 |   41.4s | overall 288/1000
10:39:25 | b=0.45, a:3.0->0.0 (p=1.0) | trial  91 | gates= 218 |   42.0s | overall 289/1000
10:39:25 | b=0.45, a:3.0->0.0 (p=1.0) | trial  93 | gates= 218 |   41.8s | overall 290/1000
10:39:26 | b=0.45, a:3.0->0.0 (p=1.0) | trial  96 | gates= 220 |   42.1s | overall 291/1000
10:39:27 | b=0.45, a:3.0->0.0 (p=1.0) | trial  98 | gates= 220 |   42.8s | overall 292/1000
10:39:27 | b=0.45, a:3.0->0.0 (p=1.0) | trial  97 | gates= 208 |   42.9s | overall 293/1000
10:39:27 | b=0.45, a:3.0->0.0 (p=1.0) | trial  92 | gates= 222 |   43.7s | overall 294/1000
10:39:27 | b=0.45, a:3.0->0.0 (p=1.0) | trial  95 | gates= 208 |   43.5s | overall 295/1000
10:39:28 | b=0.45, a:3.0->0.0 (p=1.0) | trial  90 | gates= 210 |   45.7s | overall 296/1000
10:39:28 | b=0.45, a:3.0->0.0 (p=1.0) | trial  99 | gates= 218 |   44.0s | overall 297/1000
10:39:28 | b=0.45, a:3.0->0.0 (p=1.0) | trial 100 | gates= 214 |   43.0s | overall 298/1000
10:39:29 | b=0.45, a:3.0->0.0 (p=1.0) | trial  89 | gates= 228 |   46.5s | overall 299/1000
10:39:29 | b=0.45, a:1.0->0.0 (p=1.0) | trial   1 | gates= 218 |   43.8s | overall 300/1000
10:39:30 | b=0.45, a:3.0->0.0 (p=1.0) | trial  94 | gates= 206 |   47.1s | overall 301/1000
10:39:35 | b=0.45, a:1.0->0.0 (p=1.0) | trial   3 | gates= 208 |   44.2s | overall 302/1000
10:39:35 | b=0.45, a:1.0->0.0 (p=1.0) | trial   2 | gates= 198 |   47.9s | overall 303/1000
10:39:35 | b=0.45, a:1.0->0.0 (p=1.0) | trial   6 | gates= 216 |   43.2s | overall 304/1000
10:39:35 | b=0.45, a:1.0->0.0 (p=1.0) | trial   8 | gates= 230 |   41.9s | overall 305/1000
10:39:35 | b=0.45, a:1.0->0.0 (p=1.0) | trial   7 | gates= 208 |   42.2s | overall 306/1000
10:39:35 | b=0.45, a:1.0->0.0 (p=1.0) | trial   4 | gates= 210 |   47.3s | overall 307/1000
10:39:38 | b=0.45, a:1.0->0.0 (p=1.0) | trial   9 | gates= 214 |   43.1s | overall 308/1000
