# started 2026-08-30 22:00:05
22:09:37 | d=0.010 N=20 | trial  80 | gates= 182 |  173.7s | overall 71/1000
22:09:46 | d=0.010 N=20 | trial  83 | gates= 184 |  180.8s | overall 72/1000
22:09:47 | d=0.010 N=20 | trial  73 | gates= 186 |  198.5s | overall 73/1000
22:09:47 | d=0.010 N=20 | trial  78 | gates= 184 |  191.1s | overall 74/1000
22:09:49 | d=0.010 N=20 | trial  66 | gates= 184 |  213.2s | overall 75/1000
22:09:51 | d=0.010 N=20 | trial  77 | gates= 176 |  195.8s | overall 76/1000
22:09:51 | d=0.010 N=20 | trial  76 | gates= 184 |  200.1s | overall 77/1000
22:09:52 | d=0.010 N=20 | trial  71 | gates= 178 |  205.4s | overall 78/1000
22:09:54 | d=0.010 N=20 | trial  70 | gates= 184 |  209.5s | overall 79/1000
22:09:54 | d=0.010 N=20 | trial  82 | gates= 184 |  190.4s | overall 80/1000
22:09:55 | d=0.010 N=20 | trial  74 | gates= 186 |  206.6s | overall 81/1000
22:09:58 | d=0.010 N=20 | trial  81 | gates= 184 |  194.6s | overall 82/1000
22:10:03 | d=0.010 N=20 | trial  79 | gates= 178 |  204.5s | overall 83/1000
22:10:18 | d=0.010 N=20 | trial  84 | gates= 180 |  205.4s | overall 84/1000
22:12:02 | d=0.010 N=20 | trial  86 | gates= 184 |  180.4s | overall 85/1000
22:12:03 | d=0.010 N=20 | trial  89 | gates= 184 |  171.3s | overall 86/1000
22:12:03 | d=0.010 N=20 | trial  85 | gates= 186 |  190.5s | overall 87/1000
22:12:06 | d=0.010 N=20 | trial  91 | gates= 184 |  168.8s | overall 88/1000
22:12:09 | d=0.010 N=20 | trial  94 | gates= 182 |  168.7s | overall 89/1000
22:12:19 | d=0.010 N=20 | trial  90 | gates= 184 |  183.7s | overall 90/1000
22:12:21 | d=0.010 N=20 | trial  87 | gates= 182 |  195.4s | overall 91/1000
22:12:25 | d=0.010 N=20 | trial  88 | gates= 186 |  195.4s | overall 92/1000
22:12:27 | d=0.010 N=20 | trial  97 | gates= 184 |  176.7s | overall 93/1000
22:12:34 | d=0.010 N=20 | trial  92 | gates= 180 |  196.1s | overall 94/1000
22:12:34 | d=0.010 N=20 | trial  99 | gates= 182 |  177.2s | overall 95/1000
22:12:37 | d=0.010 N=20 | trial  93 | gates= 182 |  197.4s | overall 96/1000
22:12:37 | d=0.010 N=20 | trial  95 | gates= 182 |  194.0s | overall 97/1000
22:12:39 | d=0.010 N=20 | trial  98 | gates= 182 |  188.4s | overall 98/1000
22:12:46 | d=0.010 N=20 | trial 100 | gates= 192 |  179.8s | overall 99/1000
22:12:51 | d=0.015 N=20 | trial   5 | gates= 186 |  180.2s | overall 100/1000
22:12:53 | d=0.010 N=20 | trial  96 | gates= 180 |  204.5s | overall 101/1000
22:12:58 | d=0.015 N=20 | trial   1 | gates= 180 |  188.4s | overall 102/1000
22:12:58 | d=0.015 N=20 | trial  10 | gates= 182 |  179.5s | overall 103/1000
22:13:00 | d=0.015 N=20 | trial   4 | gates= 180 |  189.4s | overall 104/1000
22:13:03 | d=0.015 N=20 | trial   9 | gates= 184 |  187.4s | overall 105/1000
22:13:04 | d=0.015 N=20 | trial   2 | gates= 182 |  197.0s | overall 106/1000
22:13:07 | d=0.015 N=20 | trial   3 | gates= 178 |  197.6s | overall 107/1000
22:13:11 | d=0.015 N=20 | trial   8 | gates= 180 |  197.1s | overall 108/1000
22:13:15 | d=0.015 N=20 | trial   6 | gates= 182 |  202.2s | overall 109/1000
22:13:18 | d=0.015 N=20 | trial  11 | gates= 182 |  194.8s | overall 110/1000
22:13:22 | d=0.015 N=20 | trial   7 | gates= 182 |  208.3s | overall 111/1000
22:13:23 | d=0.015 N=20 | trial  12 | gates= 182 |  184.7s | overall 112/1000
22:14:54 | d=0.015 N=20 | trial  14 | gates= 178 |  171.5s | overall 113/1000
22:15:07 | d=0.015 N=20 | trial  18 | gates= 180 |  168.8s | overall 114/1000
22:15:08 | d=0.015 N=20 | trial  17 | gates= 180 |  179.5s | overall 115/1000
22:15:09 | d=0.015 N=20 | trial  13 | gates= 182 |  187.4s | overall 116/1000
22:15:10 | d=0.015 N=20 | trial  16 | gates= 184 |  183.8s | overall 117/1000
22:15:19 | d=0.015 N=20 | trial  15 | gates= 184 |  196.1s | overall 118/1000
22:15:30 | d=0.015 N=20 | trial  20 | gates= 188 |  184.8s | overall 119/1000
22:15:36 | d=0.015 N=20 | trial  23 | gates= 188 |  182.2s | overall 120/1000
22:15:39 | d=0.015 N=20 | trial  28 | gates= 186 |  167.2s | overall 121/1000
22:15:44 | d=0.015 N=20 | trial  19 | gates= 182 |  202.3s | overall 122/1000
22:15:50 | d=0.015 N=20 | trial  29 | gates= 186 |  176.5s | overall 123/1000
22:15:51 | d=0.015 N=20 | trial  33 | gates= 182 |  167.9s | overall 124/1000
22:15:52 | d=0.015 N=20 | trial  21 | gates= 180 |  204.5s | overall 125/1000
22:15:54 | d=0.015 N=20 | trial  27 | gates= 188 |  188.2s | overall 126/1000
22:15:55 | d=0.015 N=20 | trial  24 | gates= 182 |  198.0s | overall 127/1000
22:15:56 | d=0.015 N=20 | trial  22 | gates= 192 |  202.7s | overall 128/1000
22:15:58 | d=0.015 N=20 | trial  25 | gates= 182 |  200.7s | overall 129/1000
22:16:01 | d=0.015 N=20 | trial  26 | gates= 192 |  201.9s | overall 130/1000
22:16:07 | d=0.015 N=20 | trial  30 | gates= 184 |  192.1s | overall 131/1000
22:16:08 | d=0.015 N=20 | trial  31 | gates= 188 |  191.2s | overall 132/1000
22:16:11 | d=0.015 N=20 | trial  34 | gates= 192 |  187.3s | overall 133/1000
22:16:18 | d=0.015 N=20 | trial  32 | gates= 182 |  198.5s | overall 134/1000
22:16:20 | d=0.015 N=20 | trial  37 | gates= 180 |  185.2s | overall 135/1000
22:16:20 | d=0.015 N=20 | trial  38 | gates= 184 |  181.8s | overall 136/1000
22:16:21 | d=0.015 N=20 | trial  35 | gates= 184 |  194.3s | overall 137/1000
22:16:27 | d=0.015 N=20 | trial  36 | gates= 184 |  195.3s | overall 138/1000
22:16:27 | d=0.015 N=20 | trial  39 | gates= 180 |  184.5s | overall 139/1000
22:16:28 | d=0.015 N=20 | trial  40 | gates= 188 |  185.0s | overall 140/1000
22:17:46 | d=0.015 N=20 | trial  41 | gates= 184 |  171.9s | overall 141/1000
22:17:55 | d=0.015 N=20 | trial  42 | gates= 182 |  167.9s | overall 142/1000
22:18:10 | d=0.015 N=20 | trial  43 | gates= 184 |  182.1s | overall 143/1000
22:18:19 | d=0.015 N=20 | trial  46 | gates= 186 |  179.9s | overall 144/1000
22:18:30 | d=0.015 N=20 | trial  44 | gates= 186 |  201.2s | overall 145/1000
22:18:32 | d=0.015 N=20 | trial  49 | gates= 194 |  173.4s | overall 146/1000
22:18:37 | d=0.015 N=20 | trial  45 | gates= 180 |  207.6s | overall 147/1000
22:18:38 | d=0.015 N=20 | trial  52 | gates= 184 |  167.5s | overall 148/1000
22:18:40 | d=0.015 N=20 | trial  47 | gates= 182 |  190.5s | overall 149/1000
22:18:47 | d=0.015 N=20 | trial  50 | gates= 186 |  183.2s | overall 150/1000
22:18:50 | d=0.015 N=20 | trial  48 | gates= 184 |  194.0s | overall 151/1000
22:18:56 | d=0.015 N=20 | trial  54 | gates= 186 |  181.7s | overall 152/1000
22:18:59 | d=0.015 N=20 | trial  53 | gates= 192 |  187.4s | overall 153/1000
22:19:03 | d=0.015 N=20 | trial  55 | gates= 188 |  187.7s | overall 154/1000
22:19:04 | d=0.015 N=20 | trial  51 | gates= 184 |  194.5s | overall 155/1000
22:19:04 | d=0.015 N=20 | trial  56 | gates= 182 |  188.0s | overall 156/1000
22:19:09 | d=0.015 N=20 | trial  64 | gates= 182 |  168.9s | overall 157/1000
22:19:11 | d=0.015 N=20 | trial  57 | gates= 178 |  193.1s | overall 158/1000
22:19:13 | d=0.015 N=20 | trial  59 | gates= 182 |  186.4s | overall 159/1000
22:19:19 | d=0.015 N=20 | trial  60 | gates= 184 |  191.1s | overall 160/1000
22:19:20 | d=0.015 N=20 | trial  58 | gates= 186 |  199.1s | overall 161/1000
22:19:30 | d=0.015 N=20 | trial  61 | gates= 180 |  198.7s | overall 162/1000
22:19:32 | d=0.015 N=20 | trial  63 | gates= 178 |  191.7s | overall 163/1000
22:19:33 | d=0.015 N=20 | trial  65 | gates= 178 |  191.8s | overall 164/1000
22:19:39 | d=0.015 N=20 | trial  62 | gates= 186 |  200.0s | overall 165/1000
22:19:45 | d=0.015 N=20 | trial  68 | gates= 178 |  197.1s | overall 166/1000
22:19:45 | d=0.015 N=20 | trial  67 | gates= 190 |  198.3s | overall 167/1000
22:19:48 | d=0.015 N=20 | trial  66 | gates= 186 |  201.2s | overall 168/1000
22:20:36 | d=0.015 N=20 | trial  69 | gates= 184 |  170.4s | overall 169/1000
22:20:43 | d=0.015 N=20 | trial  70 | gates= 186 |  167.9s | overall 170/1000
22:21:08 | d=0.015 N=20 | trial  71 | gates= 180 |  177.8s | overall 171/1000
22:21:25 | d=0.015 N=20 | trial  72 | gates= 184 |  186.3s | overall 172/1000
